Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.167.151 10.0.2.16 443 33948,1140548482,1140553383,1140553455,1140553462,1140553480,1140553490,,,443,0x544b,4,94,7,10,,4823,4917
10.0.2.16 149.154.167.151 33948 443,1140548036,1140553722,1140553769,1140553775,1140553793,1140553802,,,33948,0x6d33,4,49,6,9,,5599,5648
149.154.175.58 10.0.2.16 443 51806,1140758468,1140764828,1140764899,1140764906,1140764924,1140764933,,,443,0x3c30,4,10,7,9,,6312,6322
149.154.175.53 10.0.2.16 443 36894,1140799164,1140810420,1140810491,1140810496,1140810514,1140810522,,,443,0x733e,4,24,5,8,,11116,11140
149.154.175.58 10.0.2.16 443 39016,1140808024,1140834445,1140834498,1140834504,1140834522,1140834527,,,443,0x55a5,4,0,6,5,,26205,26205
10.0.2.16 149.154.175.58 39016 443,1140807627,1140834883,1140834953,1140834958,1140834976,1140834983,,,39016,0x7dc5,4,2,5,7,,26972,26974
149.154.167.151 10.0.2.16 443 39236,1140842331,1140847342,1140847412,1140847418,1140847436,1140847444,,,443,0x5133,4,33,6,8,,4851,4884
10.0.2.16 149.154.167.151 39236 443,1140842007,1140847707,1140847722,1140847726,1140847744,1140847753,,,39236,0x5c1b,4,52,4,9,,5642,5694
10.0.2.16 149.154.175.58 39012 443,1140884239,1141011114,1141011185,1141011194,1141011212,1141011223,,,39012,0x2fd0,4,16,9,11,,124964,124980
10.0.2.16 149.154.175.53 56358 443,1141215566,1141221673,1141221743,1141221749,1141221768,1141221777,,,56358,0x76ab,4,41,6,9,,5974,6015
10.0.2.16 149.154.167.151 36676 443,1141253149,1141258938,1141259009,1141259014,1141259032,1141259043,,,36676,0x5786,4,40,5,11,,5624,5664
149.154.167.151 10.0.2.16 443 43018,1141281911,1141286951,1141287022,1141287026,1141287045,1141287054,,,443,0x4f0f,4,35,4,9,,4928,4963
10.0.2.16 149.154.167.151 43018 443,1141281485,1141287302,1141287331,1141287335,1141287353,1141287362,,,43018,0x6688,4,3,4,9,,5733,5736
10.0.2.16 149.154.175.58 41996 443,1141736967,1141742175,1141742226,1141742232,1141742249,1141742266,,,41996,0x1b1b,4,18,6,17,,5131,5149
149.154.175.58 10.0.2.16 443 53282,1141788484,1141839323,1141839357,1141839364,1141839382,1141839391,,,443,0x2584,4,33,7,9,,50199,50232
149.154.175.53 10.0.2.16 443 57636,1141976089,1141980999,1141981049,1141981066,1141981086,1141981104,,,443,0x45e5,4,84,17,18,,4882,4966
149.154.175.58 10.0.2.16 443 36938,1141990264,1141994673,1141994743,1141994750,1141994768,1141994776,,,443,0x5e86,4,56,7,8,,4283,4339
