Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 13.248.212.111 50106 443,701997033,702004203,702004274,702004281,702004299,702004309,,,50106,0x6359,3,12,7,10,,7152,7164,,,,,,
10.0.2.16 13.248.212.111 50090 443,702002345,702014595,702014667,702014672,702014690,702014700,,,50090,0x5264,3,37,5,10,,12045,12082,,,,,,
13.248.212.111 10.0.2.16 443 38828,702018071,702026821,702026892,702026897,702026915,702026924,,,443,0x4ddc,3,94,5,9,,8559,8653,,,,,,
13.248.212.111 10.0.2.16 443 38834,702020790,702028231,702028303,702028306,702028324,702028328,,,443,0x2ed7,3,28,3,4,,7396,7424,,,,,,
10.0.2.16 13.248.212.111 38834 443,702021117,702038049,702038055,702038060,702038079,702038086,,,38834,0x59f6,3,54,5,7,,16701,16755,,,,,,
13.248.212.111 10.0.2.16 443 58842,702079579,702086703,702086775,702086780,702086798,702086805,,,443,0x6c93,3,32,5,7,,7035,7067,,,,,,
13.248.212.111 10.0.2.16 443 58532,702111083,702115832,702115904,702115909,702115928,702115935,,,443,0x299d,3,30,5,7,,4636,4666,,,,,,
13.248.212.111 10.0.2.16 443 38328,702183449,702187738,702187810,702187819,702187837,702187845,,,443,0x2d76,3,108,9,8,,4191,4299,,,,,,
10.0.2.16 13.248.212.111 38328 443,702183910,702193726,702193798,702193805,702193823,702193829,,,38328,0x4b9c,3,33,7,6,,9719,9752,,,,,,
10.0.2.16 13.248.212.111 38324 443,702188063,702200663,702200734,702200737,702200756,702200762,,,38324,0x1989,3,29,3,6,,12455,12484,,,,,,
76.223.92.165 10.0.2.16 443 37800,702393544,702400746,702400820,702400832,702400851,702400865,,,443,0x3d29,3,56,12,14,,7131,7187,,,,,,
76.223.92.165 10.0.2.16 443 37814,702392469,702401847,702401919,702401923,702401940,702401951,,,443,0x5e22,3,65,4,11,,9219,9284,,,,,,
10.0.2.16 76.223.92.165 37814 443,702392073,702402209,702402238,702402242,702402264,702402269,,,37814,0x7358,3,34,4,5,,9993,10027,,,,,,
10.0.2.16 76.223.92.165 55348 443,702444338,702456018,702456091,702456097,702456116,702456121,,,55348,0x6789,3,28,6,5,,11653,11681,,,,,,
76.223.92.165 10.0.2.16 443 55348,702443908,702456488,702456560,702456563,702456581,702456587,,,443,0x22b2,3,11,3,6,,12449,12460,,,,,,
76.223.92.165 10.0.2.16 443 33128,702515532,702522555,702522603,702522609,702522627,702522636,,,443,0x364c,3,18,6,9,,6967,6985,,,,,,
76.223.92.165 10.0.2.16 443 33132,702514471,702523762,702523833,702523836,702523854,702523859,,,443,0x5790,3,23,3,5,,9166,9189,,,,,,
10.0.2.16 13.248.212.111 35518 443,702601854,702607511,702607583,702607587,702607605,702607613,,,35518,0x7ec8,3,65,4,8,,5576,5641,,,,,,
76.223.92.165 10.0.2.16 443 34914,702622749,702631932,702631943,702631947,702631966,702631971,,,443,0x1ed6,3,29,4,5,,9127,9156,,,,,,
