Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
52.114.128.205 10.0.2.16 443 58771,281680875,281689550,281689596,281689602,281689620,281689628,,,443,0x3473,6,35,6,8,,8598,8633,,,,,,
10.0.2.16 52.114.128.205 58771 443,281681308,281689921,281689926,281689929,281689947,281689953,,,58771,0x3d82,6,45,3,6,,8597,8642,,,,,,
52.177.138.113 10.0.2.16 443 40174,281693348,281703473,281703544,281703549,281703567,281703576,,,443,0x222d,6,22,5,9,,10006,10028,,,,,,
10.0.2.16 52.177.138.113 40174 443,281693669,281703803,281703875,281703878,281703896,281703902,,,40174,0x6a58,6,41,3,6,,10006,10047,,,,,,
10.0.2.16 52.113.194.132 43416 443,281692560,281732336,281732408,281732411,281732430,281732437,,,43416,0x6aa4,6,12,3,7,,39256,39268,,,,,,
52.255.207.13 10.0.2.16 443 47422,281705562,281733820,281733860,281733864,281733881,281733888,,,443,0x1689,6,88,4,7,,28019,28107,,,,,,
10.0.2.16 52.168.112.67 60252 443,281861821,281886934,281887008,281887019,281887039,281887051,,,60252,0x4673,6,14,11,12,,24951,24965,,,,,,
52.168.112.67 10.0.2.16 443 60252,281881114,281887595,281887666,281887674,281887692,281887703,,,443,0x7246,6,0,8,11,,6390,6390,,,,,,
10.0.2.16 13.89.179.8 55928 443,281937779,281942214,281942282,281942287,281942305,281942312,,,55928,0x5292,6,22,5,7,,4448,4470,,,,,,
10.0.2.16 52.255.207.13 58162 443,281943231,281974907,281974946,281974950,281974968,281974974,,,58162,0x58c8,6,62,4,6,,31362,31424,,,,,,
